Country Region,EC financing,Title,Action location,Organisation,Total cost in Euro,Contract Nr,Theme,DAC code,Duration,Organisation nationality,Amount in Euro
Germany,"
						
						    75 %
					",Сapacity building for sustainable agriculture to benefit smallholder farmers in Kyrgyzstan,"Osh, Djalal-Abad, Batken and Naryn, Chui oblasts in Kyrgyzstan",PRO NGO (NON GOVERNMENTAL ORGANISATIONS/NICHT REGIERUNGS ORGANISATIONEN) EV,"
						      277,685
					",257667,Agricultural development,31120,18 months,Kyrgyzstan,"
						      208,264
					"
Germany,"
						
						    67 %
					",''Watch your rights! Human rights Education throughforms of Popular Communication and Participation'',"Malaysia - Kuala Lumpur, Penang, Selangor, Johor, Sarawak",KONRAD-ADENAUER-STIFTUNG EV,"
						       74,323
					",225792,Human rights,15160,12 months,Malaysia,"
						       50,000
					"
Germany,"
						
						    71 %
					",A Balkan Tale: Forgotten Monuments of the Ottoman Era ,"Albania, the former Yugoslav Republic of Macedonia, Kosovo under UNSCR 1244/99, Serbia",GOETHE-INSTITUT EV,"
						      367,990
					",255943,Democratic participation and civil society,15150,22 months,Region IPA instrument,"
						      260,000
					"
Germany,"
						
						    80 %
					",A changing Turkey and a critical Europe,"Berlin, Germany
Turkey",EUROPAISCHE STABILITATS INITIATIVEEV,"
						      206,000
					",243832,Communications policy and administrative management,22010,15 months,EU Europe ,"
						      164,000
					"
Germany,"
						
						    80 %
					",AMAZONIA VIVA - CONSERVACION Y VALORIZACION PARTICIPAIVA DEL BOSQUE Y SUS SERVICIOS AMBIENTALES,Perú y Colombia,WWF DEUTSCHLAND STIFTUNG,"
						     3,133,093
					",220898,Forestry policy and administrative management,31210,44 months,South America Region,"
						     2,500,000
					"
Germany,"
						
						    89 %
					",Accession to Internal Market (Component III): Strengthening the intellectual and industrial property policies in Montenegro ,"Montenegro
Target groups - staff of the Montenegrin Office for Intellectual Property and the Ministry of Economy",EUROPEAN PATENT ORGANISATION,"
						      450,040
					",240532,Trade facilitation,33120,18 months,Montenegro,"
						      400,000
					"
Germany,"
						
						    95 %
					","Addressing hate speech in Georgia:A Litmus  test for human rights and social tolerance.
","Georgia. Tbilisi and regional centres: Zugdidi, Kutaisi, Batumi, Telavi, Gori,  Rustavi, Marneuli, Gardabani, Akhaltsikhe.",HEINRICH BOLL STIFTUNG EV,"
						      100,000
					",242226,Human rights,15160,18 months,Georgia,"
						       95,000
					"
Germany,"
						
						    90 %
					",Amélioration Durable des Conditions d¿accès à l¿Assainissement et à la Gestion des Eaux Usées et Excréta dans la région des Hauts ¿ Bassins du Burkina Faso.,"Pays Burkina Faso ; Région des Hauts Bassins ; Provinces du Houet, du Kénédougou et du Tuy ; Communes rurales de Léna, Satiri, Badema, Dandé, Karangasso-Sambla, Banzon, Samoroghoan, Koloko, Kangala,  Koumbia, Békuy et Béréba",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,989,252
					",251765,,14032,36 months,Burkina Faso,"
						     1,790,327
					"
Germany,"
						
						    85 %
					","Amélioration de la sécurité alimentaire des ménages vulnérables dans 6 provinces du Burundi (Karuzi, Gitega, Ngozi, Kayanza, Buja rural et Bubanza) à travers le renforcement des capacités et la professionnalisation des organisations de product","Burundi (Karuzi, Gitega, Ngozi, Kayanza, Buja rural et Bubanza)",KINDERNOTHILFE EV,"
						      621,010
					",251309,Agricultural development,31120,36 months,Burundi,"
						      527,858
					"
Germany,"
						
						    75 %
					",Back-to-the-Future! ¿ Returned volunteers as multipliers on global development issues,"Ireland, Poland, Germany",FORUM FUR INTERNATIONALE ENTWICKLUNG UND PLANUNG FINEP EV,"
						      742,600
					",239504,Promotion of development awareness,99820,36 months,EU Europe ,"
						      556,950
					"
Germany,"
						
						    80 %
					",Building coastal resilience to reduce climate change impact in Thailand and Indonesia ,"Thailand: 4 provinces in Southern Thailand: Krabi, Trang, Chumpon and Nakhon Si Thammarat;
Indonesia: 4 districts in South Sulawesi - Bone, Wajo, Luwu and Luwu Utara ",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     2,175,504
					",221469,Environmental policy and administrative management,41010,36 months,South East Asia Region,"
						     1,740,403
					"
Germany,"
						
						    80 %
					",CELA - Network of Climate Change Technology Transfer Centres in Europe and Latin America,"Germany, Estonia, Bolivia, Peru, Guatemala, Nicaragua",HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG,"
						     1,561,391
					",254782,Higher education,11420,36 months,Latin America Countries,"
						     1,249,113
					"
Germany,"
						
						    72 %
					",CONSERVATION RESEARCH FOR EAST AFRICA S THREATENED ECOSYSTEMS (CREATE),Tanzania (Serengeti Ecosystem) and Zambia (North Luanga Ecosystem),ZOOLOGISCHE GESELLSCHAFT FRANKFURTVON 1858,"
						     2,079,706
					",254772,Bio-diversity,41030,60 months,Sub-Saharan Africa,"
						     1,500,000
					"
Germany,"
						
						    80 %
					",CapWEM - Capacity development in Water engineering and Environmental Management,"1. Argentina, Bahia Blanca
2. Brazil, Santa Maria
3. Chile, Talca
4. Costa Rica, San José
5. El Salvador, San Salvador
6. Paraguay, Ascuncion
7. Portugal, Lisboa
8. Universität Siegen, Germany",UNIVERSITAT SIEGEN,"
						     1,561,193
					",254922,Higher education,11420,36 months,Latin America Countries,"
						     1,247,993
					"
Germany,"
						
						    55 %
					",Capacity Building for Local CSOs to Enhance Democratic Participation and Representation in Aceh and Papua,"Indonesia: Aceh (Aceh Barat, Aceh Jaya, Nagan Raya regencies) and Papua (Jayawijaya, Tolikara, Yahukimo regencies)",KONRAD-ADENAUER-STIFTUNG EV,"
						      178,523
					",253188,Human rights,15160,12 months,Indonesia,"
						       98,000
					"
Germany,"
						
						    85 %
					",Capacity Building towards Advancing ISO Standards and Quality Management in the Transport & Logistics Sector,"Kazakhstan, Uzbekistan",INTERNATIONALE WEITERBILDUNG UND ENTWICKLUNG GEMEINNUTZIGE GMBH,"
						      588,209
					",253497,Small and medium-sized enterprises (SME) development,32130,24 months,Central Asia Region,"
						      499,978
					"
Germany,"
						
						    90 %
					",Capacity building in organic agriculture farming and project cycle management at Academy/University level.,Democratic People's Republic of Korea (North Korea - DPRK),GESELLSCHAFT FUR NACHHALTIGE ENTWICKLUNG MBH,"
						      449,835
					",233929,Food aid/Food security programmes,52010,24 months,North Korea,"
						      404,851
					"
Germany,"
						
						   100 %
					","Central Asia Drug Action Programme, Phase 5 (CADAP 5)","Several locations (capitals, provincial cities) in all five Central Asian republics",DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH,"
						     4,900,000
					",229666,Narcotics control,16063,42 months,Central Asia Region,"
						     4,900,000
					"
Germany,"
						
						    85 %
					",CfP Cross-border co-operation BiH-MNE,"BiH:Foca, Trebinje, Gacko and Bileca",ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      162,361
					",257233,Sectors not specified,99810,18 months,Bosnia and Herzegovina,"
						      138,007
					"
Germany,"
						
						    80 %
					","Community based water, sanitation and hygiene project for uprooted people in and around the camps Mae Ra Ma Luang and Mae La Oon, Northern Thailand","Mae Ra Ma Luang (MRML) and Mae La Oon (MLO) camps 
4 surrounding villages in Sob Moi district, Mae Hong Son i.e. Mae La Ma Noi, Mae To La, Kloh Koh, Mae Ra Ma Luang and 1 village in Tha Song Yang district , Tak i.e. Mae Lo Na (Noo Pa Poo). ",MALTESER HILFSDIENST EV,"
						      700,000
					",256286,Basic drinking water supply and basic sanitation,14030,30 months,Thailand,"
						      560,000
					"
Germany,"
						
						    80 %
					","Conservación de Bosques y Desarrollo Comunitario Sostenible para la mitigación
del cambio climático","Petén, Guatemala",OROVERDE DIE TROPENWALDSTIFTUNG,"
						     2,233,139
					",220394,Forestry policy and administrative management,31210,48 months,Guatemala,"
						     1,786,511
					"
Germany,"
						
						    57 %
					",Contribuer à l'application effective des droits fondamentaux des filles et à l'emergence d'une société malienne où les femmes ne sont pas des citoyennes de second rang,Mali,KINDERRECHTE AFRIKA EV,"
						      401,250
					",217913,Human rights,15160,24 months,Mali,"
						      230,000
					"
Germany,"
						
						    75 %
					",Contributing to sustainable living conditions in key timber producing tropical countries by highlighting destructive forestry in key distribution countries,"UK, Germany",WWF DEUTSCHLAND STIFTUNG,"
						     1,333,000
					",202284,Promotion of development awareness,99820,24 months,All Countries,"
						      999,750
					"
Germany,"
						
						    30 %
					",EC funding of the permanent Coordination Office of the Practitioners' Network for European Development Cooperation in Brussels ,Brussels (BE),KREDITANSTALT FUR WIEDERAUFBAU,"
						       50,000
					",244964,Administrative costs,91010,12 months,EU Europe ,"
						       15,000
					"
Germany,"
						
						   100 %
					","ECHO/-WF/EDF/2010/01008 - Acute malnutrition care in the Health centers of the Health District of Tera, Tillaberi and Mayahi, Niger",Niger,HELP - HILFE ZUR SELBSTHILFE EV,"
						     1,428,548
					",246261,Emergency food aid,72040,9 months,Niger,"
						     1,428,548
					"
Germany,"
						
						    80 %
					",EU Police Force Training,Training of Police forces in Europe,BUNDESREPUBLIK DEUTSCHLAND,"
						      873,685
					",235971,"Civilian peace-building, conflict prevention and resolution",15220,6 months,All Countries,"
						      698,948
					"
Germany,"
						
						    80 %
					",EU and Turkey: Challenges and Opportunities,"Jena, Germany",FRIEDRICH SCHILLER UNIVERSITAT JENA,"
						      142,500
					",242705,Communications policy and administrative management,22010,15 months,EU Europe ,"
						      114,000
					"
Germany,"
						
						    85 %
					","EU support to regional economic development in BIH Call VI MSME development in Gorazde, Rogatica, and Foca under Lot 1","Bosnia and Herzegovina,  Gorazde, Rogatica and Foca
Target groups:  - SME/SMI 
 - Local Authorities as well as central government
",HELP - HILFE ZUR SELBSTHILFE EV,"
						      471,423
					",249025,Small and medium-sized enterprises (SME) development,32130,24 months,Bosnia and Herzegovina,"
						      399,578
					"
Germany,"
						
						    95 %
					","EUROPEAID /130472/L/ACT/RS
09/SER01/02/21
supporting access to Rights , empl and livelihhos enhancement to  ref and IDPS -small grants for integration ","SERBIA
NIS BELA PALANKA VRANJE ",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      482,484
					",258744,Refugees in donor countries,93010,24 months,Serbia,"
						      458,360
					"
Germany,"
						
						    75 %
					",Echanger pour mieux informer,TCHAD - N'Djaména et provinces,DEUTSCHER ENTWICKLUNGSDIENST GEMEINNUTZIGE GMBH,"
						      410,751
					",241733,Democratic participation and civil society,15150,27 months,Chad,"
						      308,063
					"
